number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
0.003683241252302026,0.3571428571428571,0.9643835616438357,0.25,0.0,199
0.01289134438305709,0.16666666666666666,0.0,0.0,0.0,35
0.11602209944751382,0.023809523809523808,0.0,0.0,0.5,119
0.022099447513812154,0.2857142857142857,0.9972602739726028,0.0,0.0,169
0.0,0.023809523809523808,0.6136986301369863,0.0,1.0,40
0.04419889502762431,0.0,0.6767123287671233,0.5,0.0,150
0.009208103130755065,0.0,0.7397260273972602,0.0,0.5,189
0.0055248618784530384,0.0,0.8712328767123287,0.25,0.0,125
0.06998158379373849,0.0,0.0,0.75,0.0,60
0.001841620626151013,0.023809523809523808,0.2273972602739726,0.75,0.0,45
0.0055248618784530384,0.07142857142857142,0.9917808219178083,0.5,1.0,28
0.029465930018416207,0.6904761904761905,0.947945205479452,0.0,1.0,35
0.003683241252302026,0.07142857142857142,0.0,0.25,0.0,109
0.014732965009208104,0.07142857142857142,0.0,0.0,0.0,45
0.020257826887661142,0.07142857142857142,0.0,0.0,0.0,40
0.0,0.23809523809523805,0.9835616438356164,0.25,0.0,300
0.11786372007366483,0.023809523809523808,0.0,0.0,1.0,25
0.034990791896869246,0.047619047619047616,0.24657534246575344,0.25,1.0,45
0.0570902394106814,0.09523809523809523,0.9232876712328767,0.75,0.0,85
0.06077348066298343,0.09523809523809523,1.0,0.75,0.0,80
0.02394106813996317,0.09523809523809523,0.9808219178082191,0.75,0.0,50
0.003683241252302026,0.30952380952380953,0.24657534246575344,0.75,0.0,93
0.09760589318600368,0.047619047619047616,0.7232876712328767,0.0,0.0,70
0.18968692449355434,0.11904761904761904,1.0,0.25,0.0,50
0.003683241252302026,0.0,0.8821917808219178,0.25,0.0,358
0.24677716390423574,0.023809523809523808,0.6821917808219178,0.75,0.5,120
0.0570902394106814,0.0,0.0027397260273972603,0.0,0.0,28
0.0,0.023809523809523808,0.5178082191780822,0.0,0.0,70
0.040515653775322284,0.09523809523809523,0.863013698630137,0.25,0.0,100
0.0,0.023809523809523808,0.5780821917808219,0.0,1.0,40
0.0,0.0,0.9972602739726028,0.75,0.0,95
0.0,0.11904761904761904,0.904109589041096,0.25,0.0,400
0.022099447513812154,0.047619047619047616,0.9972602739726028,0.0,0.0,58
0.4548802946593002,0.023809523809523808,0.4410958904109589,0.25,0.0,70
0.143646408839779,0.0,1.0,0.0,0.5,150
0.10128913443830571,0.07142857142857142,0.5589041095890411,0.25,1.0,65
0.0,0.0,0.8684931506849315,0.25,0.0,260
0.04419889502762431,0.023809523809523808,0.4931506849315069,0.0,0.0,149
0.06629834254143646,0.0,0.410958904109589,0.75,0.5,80
0.04788213627992634,0.023809523809523808,1.0,0.75,1.0,37
0.003683241252302026,0.3571428571428571,1.0,0.25,0.0,199
0.03314917127071823,0.047619047619047616,0.9972602739726028,0.25,0.0,339
0.02578268876611418,0.047619047619047616,0.8575342465753425,0.75,0.0,70
0.17495395948434622,0.0,0.6136986301369863,0.25,0.0,118
